Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.77,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722798882.68,1873452513.97,1920262569.83,1941094972.07,2021301675.98,2228279329.61,2331005586.59,2421474860.34,2623726256.98,2791960893.85,2498932960.89,2467703910.61,2584463687.15,,,,,,
Afghanistan,AFG,537777811.11,548888895.56,546666677.78,751111191.11,800000044.44,1006666637.78,1399999966.67,1673333417.78,1373333366.67,1408888922.22,1748886595.56,1831108971.11,1595555475.56,1733333264.44,2155555497.78,2366666615.56,2555555566.67,2953333417.78,3300000108.89,3697940409.61,3641723322.00,3478787909.09,,,,,,,,,,,,,,,,,,,,2461665937.89,4128820723.05,4583644246.48,5285465685.86,6275073571.55,7057598406.62,9843842455.48,10190529882.49,12486943505.74,15936800636.25,17930239399.81,20536542736.73,20264253973.79,20616104298.50,19215562179.01,19469022207.69,20815300220.04
Angola,AGO,,,,,,,,,,,,,,,,,,,,,5930503400.83,5550483035.91,5550483035.91,5784341596.36,6131475065.24,7553560459.10,7072063345.45,8083872012.47,8769250549.74,10201099039.57,11228764963.16,10603784541.20,8307810973.59,5768720421.61,4438321017.39,5538749259.95,7526446605.52,7648377412.83,6506229607.29,6152922942.98,9129594818.61,8936063723.20,12497347956.13,14188949398.38,19640853733.60,28233712737.97,41789479931.71,60448924661.79,84178035578.82,75492385928.33,82526143645.06,104115807985.97,113923162050.11,124912503781.15,126730196125.43,102621215573.46,95337203468.12,124209385825.22
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.01,1965384586.24,2173750012.50,2156624900.00,2126000000.00,2335124987.50,2101624962.50,1139166645.83,709452583.88,1228071037.84,1985673798.10,2424499009.14,3314898291.75,2359903108.38,2707123772.16,3414760915.28,3632043907.98,4060758804.12,4435078647.75,5746945912.58,7314865175.62,8158548716.69,8992642348.79,10701011896.77,12881352687.78,12044212903.82,11926953258.92,12890867538.53,12319784787.30,12776277515.48,13228244357.18,11386931489.80,11883682170.82,13039352743.96
Andorra,AND,,,,,,,,,,,78619206.09,89409820.36,113408231.94,150820102.80,186558696.28,220127246.38,227281024.62,254020153.34,308008897.57,411578334.16,446416105.83,388958731.30,375895956.38,327861832.95,330070689.30,346737964.77,482000594.04,611316399.41,721425939.15,795449332.40,1029048481.88,1106928582.87,1210013651.88,1007025755.00,1017549124.33,1178738991.19,1223945356.63,1180597272.73,1211932397.82,1239876305.14,1434429703.34,1496912751.68,1733116883.12,2398645598.19,2935659299.73,3255789080.96,3543256805.92,4016972351.49,4007353156.58,3660530702.97,3355695364.24,3442062830.14,3164615186.95,3281585236.33,3350736367.25,2811489408.89,2877311946.90,3012914131.17
Arab World,ARB,,,,,,,,,25752663333.90,28425351599.15,31375728862.70,36415569616.46,43302571643.42,55001266850.94,105113069536.47,116300804387.38,144801082500.13,167256241960.73,183498400604.36,248568798878.83,338072174738.77,348484272974.42,324227785105.70,303867911387.33,307844905036.35,303799011536.08,288939171303.39,312584335588.73,307407305094.51,322224795591.56,446738041822.10,439642267666.68,471016834841.51,476365284407.18,487375131447.33,523357362511.38,578012134733.36,612896365521.56,590692883161.58,643147698719.75,734768117003.10,723282816386.41,729051715398.54,823110541434.92,963862340514.09,1184661549862.35,1404113530791.23,1637573196525.36,2078115659876.48,1795819607113.11,2109550811385.89,2501304511876.72,2786139307967.37,2866038091981.47,2906918403546.86,2554479933648.44,2500164034395.78,2591047461124.41
United Arab Emirates,ARE,,,,,,,,,,,,,,,,14720672506.50,19213022691.05,24871775164.60,23775831783.43,31225463217.76,43598748449.05,49333424135.11,46622718605.28,42803323345.14,41807954235.90,40603650231.54,33943612094.80,36384908744.21,36275674203.21,41464995913.92,50701443748.30,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617018379.85,222116541865.21,257916133424.10,315474615738.60,253547358747.45,289787338325.39,350666031313.82,374590605854.32,390107556160.65,403137100068.07,358135057862.49,357045064669.84,382575085091.90
Argentina,ARG,,,24450604877.61,18272123664.47,25605249381.76,28344705966.64,28630474727.90,24256667553.26,26436857247.50,31256284543.62,31584210365.54,33293199095.49,34733000536.29,52544000116.90,72436777342.46,52438647921.92,51169499890.77,56781000100.94,58082870156.26,69252328953.38,76961923741.95,78676842366.42,84307486836.72,103979106777.91,79092001998.03,88416668900.26,110934442762.69,111106191358.20,126206817196.09,76636898036.47,141352368714.69,189719984268.49,228788617201.70,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64,594749285413.21,554860945013.62,637590419269.32
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.43,2068526521.90,1272577456.13,1201313201.01,1315158670.28,1468317350.07,1596968913.28,1639492424.36,1893726437.26,1845482181.45,1911563665.39,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469950.09,6384451606.14,9206301700.40,11662040713.88,8647936747.99,9260284937.80,10142111334.50,10619320048.59,11121465767.41,11609512939.75,10553337672.99,10546135160.03,11536590635.83
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.00,527000000.00,512000000.00,503000000.00,496000000.00,520000000.00,563000000.00,678000000.00,576000000.00,574000000.00,644000000.00,641000000.00,643000000.00,659000000.00,658000000.00,
