Rank,NOC,Gold,Silver,Bronze,Total,Region
1, Russia (RUS)*,13,11,9,33,EURASIA
2, Norway (NOR),11,5,10,26,EUROPE
3, Canada (CAN),10,10,5,25,NORTH_A
4, United States (USA),9,7,12,28,NORTH_A
5, Netherlands (NED),8,7,9,24,EUROPE
6, Germany (GER),8,6,5,19,EUROPE
7, Switzerland (SUI),6,3,2,11,EUROPE
8, Belarus (BLR),5,0,1,6,EURASIA
9, Austria (AUT),4,8,5,17,EUROPE
10, France (FRA),4,4,7,15,EUROPE
11, Poland (POL),4,1,1,6,EUROPE
12, China (CHN),3,4,2,9,ASIA
13, South Korea (KOR),3,3,2,8,ASIA
14, Sweden (SWE),2,7,6,15,EUROPE
15, Czech Republic (CZE),2,4,2,8,EUROPE
16, Slovenia (SLO),2,2,4,8,EUROPE
17, Japan (JPN),1,4,3,8,ASIA
18, Finland (FIN),1,3,1,5,EUROPE
19, Great Britain (GBR),1,1,2,4,EUROPE
20, Ukraine (UKR),1,0,1,2,EURASIA
21, Slovakia (SVK),1,0,0,1,EUROPE
22, Italy (ITA),0,2,6,8,EUROPE
23, Latvia (LAT),0,2,2,4,EURASIA
24, Australia (AUS),0,2,1,3,AUSTRALIA
25, Croatia (CRO),0,1,0,1,EUROPE
26, Kazakhstan (KAZ),0,0,1,1,EURASIA
