"","age","c_charge_degree","race","age_cat","v_score_text","sex","priors_count","days_b_screening_arrest","v_decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out"
"1",69,"F","Other","Greater than 45","Low","Male",0,-1,1,0,0,"2013-08-13 06:03:42","2013-08-14 05:41:20"
"2",34,"F","African-American","25 - 45","Low","Male",0,-1,1,1,1,"2013-01-26 03:45:27","2013-02-05 05:36:53"
"3",44,"M","Other","25 - 45","Low","Male",0,0,1,0,0,"2013-11-30 04:50:18","2013-12-01 12:28:56"
"4",43,"F","Other","25 - 45","Low","Male",3,-1,3,0,0,"2013-08-29 08:55:23","2013-08-30 08:42:13"
"5",39,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2014-03-15 05:35:34","2014-03-18 04:28:46"
"6",27,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-11-25 06:31:06","2013-11-26 08:26:57"
"7",37,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0,"2013-01-01 03:28:03","2013-01-02 01:12:19"
"8",41,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-10-08 11:53:09","2013-10-09 02:16:51"
"9",37,"M","Hispanic","25 - 45","Low","Male",0,0,1,0,0,"2014-03-24 03:20:57","2014-03-24 09:09:10"
"10",25,"F","African-American","25 - 45","High","Male",3,-1,9,0,0,"2013-12-21 05:42:02","2013-12-22 09:11:18"
"11",31,"F","Caucasian","25 - 45","Low","Male",6,-1,4,1,1,"2013-11-16 07:12:12","2013-11-17 08:28:54"
"12",21,"F","Caucasian","Less than 25","Medium","Female",0,-2,5,0,0,"2013-11-20 04:12:09","2013-11-21 07:53:21"
"13",43,"M","Caucasian","25 - 45","Low","Male",1,-1,2,0,0,"2013-01-24 03:43:22","2013-01-25 09:12:10"
"14",32,"M","Other","25 - 45","Low","Male",0,-1,4,0,0,"2013-05-10 08:38:16","2013-05-12 03:33:36"
"15",27,"F","African-American","25 - 45","Low","Male",8,-1,3,1,1,"2013-05-05 09:07:10","2013-05-22 09:08:22"
"16",33,"F","African-American","25 - 45","Medium","Male",0,0,6,1,1,"2014-10-24 12:50:50","2014-12-01 07:49:53"
"17",55,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-12-29 06:37:02","2013-12-31 10:29:24"
"18",29,"M","Caucasian","25 - 45","Low","Male",0,0,2,0,0,"2013-01-16 12:44:00","2013-01-16 06:49:32"
"19",21,"F","African-American","Less than 25","High","Female",2,-1,8,0,0,"2013-08-23 10:37:03","2013-11-11 04:30:55"
"20",51,"M","African-American","Greater than 45","Low","Male",2,-1,1,0,0,"2013-02-27 04:44:18","2013-02-28 08:01:39"
"21",51,"F","African-American","Greater than 45","Low","Female",7,-1,2,0,0,"2013-02-13 09:29:56","2013-02-15 01:35:37"
"22",25,"M","Caucasian","25 - 45","High","Male",9,-1,9,1,1,"2014-03-27 10:17:55","2014-04-03 09:27:42"
"23",35,"F","African-American","25 - 45","Low","Male",13,-1,3,1,1,"2014-05-18 04:05:09","2014-05-19 01:47:37"
"24",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-08-02 04:43:01","2013-08-02 08:31:32"
"25",29,"F","African-American","25 - 45","Low","Male",0,0,3,0,0,"2013-04-24 04:28:24","2013-04-24 08:20:12"
"26",28,"F","Other","25 - 45","Low","Female",0,-1,2,0,0,"2013-11-17 09:43:17","2013-11-18 08:03:35"
"27",31,"F","African-American","25 - 45","Medium","Male",15,-1,7,1,0,"2013-03-17 09:02:33","2013-07-31 08:23:26"
"28",30,"M","Hispanic","25 - 45","Low","Male",0,0,3,0,0,"2013-01-20 02:50:51","2013-02-12 09:16:13"
"29",49,"M","African-American","Greater than 45","Low","Male",4,-1,1,0,0,"2013-08-26 09:16:39","2013-08-27 06:57:19"
"30",53,"F","Caucasian","Greater than 45","Low","Male",8,-13,2,0,0,"2013-05-15 08:36:10","2013-05-28 10:06:35"
"31",35,"F","African-American","25 - 45","Low","Male",5,-1,2,0,0,"2013-02-10 07:44:42","2013-02-11 07:04:44"
"32",62,"M","Hispanic","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-08 12:33:09","2013-01-08 09:41:28"
"33",33,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2014-03-08 01:34:03","2014-03-09 10:21:45"
"34",56,"M","African-American","Greater than 45","Low","Female",0,0,1,0,0,"2013-09-28 02:52:18","2013-10-01 07:39:52"
