Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,Description,Images,Breed,target
Cat,12.0,Female,White,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,We got Luna when she was a kitten in Feb 15'. She is a very calm and friendly cat. Very gentle with children. Unfortunately we can't keep her as my youngest son is allergic to cat fur. We are looking for a loving home for Luna.,880e13787-4.jpg,Domestic_Short_Hair,True
Cat,4.0,Male,Golden,White,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,Ginger Boy was found starving and hungry so I started feeding him. I then realized that he's super-friendly and very affectionate. Responds when he's called. He's a young and lively kitten and would definitely make a very good indoor pet. I hope that genuine adopters can give him a comfy home so that he's off the dangerous streets.,7abe9a0a1-2.jpg,Domestic_Short_Hair,False
Cat,12.0,Female,Black,Golden,White,Medium,No,No,No,No,Healthy,0.0,"An indoor cat with nice green/ yellowish eyes. At first, looks like a very shy cat but then will become friendly when situation becomes familiar. Toilet trained. Only for serious adopters only. Not for others who try to adopt and sell to others... in case. (though this thing happen)",605d07d33-5.jpg,Domestic_Medium_Hair,True
Dog,60.0,Male,Black,Gray,White,Medium,No,Yes,Unknown,Unknown,Healthy,0.0,My dog name called boo. He is a male. I feeding him around 4~5 years.,7ed568ab9-1.jpg,Schnauzer,False
Cat,36.0,Female,Cream,Gray,White,Large,No,No,No,Yes,Healthy,0.0,"1) Foxy is a stray cat which I feed regularly, she was spayed July . 2) After she was spayed, she become more approachable and allow us to pat and carry her when we feed her. 3)Since she is still shy with human, adopter needs to have the patience to retrain her.",8969b314b-5.jpg,Siamese,True
Cat,3.0,Female,Yellow,White,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"he is clever and playful cat. He like meet with other kitten play together. Contact: Liz or whatsapp, wechat, line",ceee65059-1.jpg,Domestic_Short_Hair,True
Cat,1.0,Female,Brown,Golden,Cream,Small,Yes,Unknown,Unknown,Unknown,Healthy,0.0,Please adopt this cute little kitten... I eanted to keep her.. But i cant becase i have a dog in my house,19982272a-4.jpg,Domestic_Short_Hair,False
Cat,8.0,Male,Black,Gray,White,Medium,Yes,Yes,Yes,No,Healthy,0.0,"My best friend. Found him at the exact place i found maxi few month earlier, and i thought that maxi must be lonely so i took him in. Momo is the one that i love most. very firm, solid and calm. But i also call him ""the pouncer"" for a reason. never lets any living critters survive in my house. Momo is always the first one to greet a new cat even tho he ends up getting scolded or swatted by the new cat. So to say that he is a very friendly cat and easy to get along with others.",f3aada535-1.jpg,Domestic_Short_Hair,False
Dog,2.0,Male,White,Unknown,Unknown,Medium,Yes,Yes,Yes,No,Healthy,10.0,active and adorable puppy. Quiet.,655eaa578-1.jpg,Mixed_Breed,True
Cat,1.0,Male,Black,Gray,White,Medium,Yes,No,No,No,Healthy,0.0,This poor kitten was abandoned and rescued by a friend.I m currently fostering him and unable to keep him for long as i stay in a hostel in Kelantan.He is a plump healthy kitten and truly adorable.Pls contact me if anyone is interested in giving popeye a loving home.,8fa705c07-2.jpg,Domestic_Short_Hair,True
Cat,2.0,Female,Black,White,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,"Little Kittycat was found in a box while I was going for my daily walk. Thankfully she could not have been abandoned for long when I found her, and she is a healthy and happy little kitty. She was just nosing and miowing out of the box when i noticed her. This cute little kitten is curious, playful, sociable and very gentle. A beautiful black and white calico with pretty puss in boots grey eyes. She'll melt any heart. Just looking for a good home to Love her. Anyone interested please call.",5d9a6398d-1.jpg,Domestic_Short_Hair,True
Dog,4.0,Female,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,No,Minor Injury,0.0,Mindy was rescued after being hit by a car when she was just a couple months old. Both legs were broken and the vet said she may lose one limb. But strong little Mindy is a fighter. Today her legs are healing well and she's up and about with no problems walking and running as all pups should. She has a great personality and is an alert and goofy pup. Adoption is free and vaccinatioms and spaying will be covered. Call to see her. Thanks!,e25112cac-3.jpg,Mixed_Breed,True
Dog,1.0,Female,Black,Brown,White,Medium,Yes,No,No,No,Healthy,100.0,Mia is one of the remaining 3 bubbly & energetic puppies is still looking for home. They are currently seeking shelter near construction site with lotsa lorries & heavy machineries moving in & out. Their life is at stake. Pls adopt & save lifes today! Location KL Puppies are 1 month plus old,412b8d565-2.jpg,Mixed_Breed,False
Dog,1.0,Female,Black,Brown,White,Medium,Yes,No,No,No,Healthy,0.0,"Puppies are five week old and looking for good home and family that can love them and treat them as part of the family. They are still very young and need love, patients and attention , so must take care them well. Adoption conditions: 1) Adopter must be Malaysian 2) They are not small size, they need a landed property to move around. 3) Give all the health and medical attention such as vaccination, deworming, tick lotion 4) Not for factory, workshop or farm use 5) During the stage of adoption, email or sent what app picture, so I can ensure they are adjustable well to her new environment. Pls call or what app to this no if interested:",a59aa3f80-1.jpg,Mixed_Breed,False
Cat,3.0,Female,Black,Brown,Gray,Large,No,Unknown,Unknown,Unknown,Healthy,0.0,"Cute, good cat, playful and active.",7ad53619d-1.jpg,Persian,False
Dog,2.0,Female,Black,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,20.0,The lil' puppy is currently taking shelter at SPCA Seberang Perai. Those interested to adopt her may contact us via email.,a3dfe1991-1.jpg,Mixed_Breed,True
Dog,2.0,Male,Black,Brown,White,Small,Yes,Yes,Yes,No,Healthy,0.0,Contact Furry Friends Farm for more further info on adopting this cute and adorable puppy !,889ae00e3-1.jpg,Mixed_Breed,False
Dog,7.0,Female,Brown,Unknown,Unknown,Large,Unknown,Yes,Yes,No,Healthy,500.0,For Adoption,77fa5cdd7-1.jpg,Golden_Retriever,True
